InputStoryid	InputSentence1	InputSentence2	InputSentence3	InputSentence4	RandomFifthSentenceQuiz1	RandomFifthSentenceQuiz2	AnswerRightEnding
ea50a050-f5d7-4f1a-a12c-076e9ea82c99	Anthony ingin belajar berbicara dalam bahasa Spanyol. 	Ia menemukan sebuah kursus daring bahasa Spanyol, lalu ia mendaftar. 	Anthony belajar dengan keras, dan alhasil dia berhasil mempelajari bahasa tersebut. 	Sekarang Anthony fasih berbicara bahasa Spanyol. 	Anthony bisa sukses karena kemampuan bahasanya.	Anthony tidak bisa menggunakan bahasa itu dengan baik. 	1
cde7e7d6-2ddc-4f5a-88f1-1a9105fe3198	Amy pergi ke toko kelontong setelah bekerja. 	Ia mempunyai daftar barang yang akan dibelinya. 	Setengah dari barang yang akan dibelinya sudah habis di toko itu. 	Amy harus pergi ke toko kelontong yang kedua.	Dia membeli dua buah rok dan sebuah blus. 	Setelah itu, ia bisa pulang ke rumah untuk memasak makanan yang lezat. 	2
d59bdca1-4056-415b-9a7e-11d60e545af8	Joanie bersiap mengeringkan rambutnya untuk berkencan.	Dia kesal karena pengering rambutnya hilang. 	Lalu, Joanie mendengar bunyi yang familier dari luar. 	Ia melihat saudara lelakinya memakai pengering rambutnya. 	Joanie merasa senang dengan saudara lelakinya. 	Joanie berlari keluar untuk memrotes saudara lelakinya. 	2
2fdb6362-2b1b-47b1-9a38-cb3ffe6e9201	Cornelia memutuskan untuk mengatur ulang apartemennya. 	Tempat tidurnya telah bertahun-tahun berada di samping dinding. 	Cornelia memindahkan tempat tidurnya ke samping jendela. 	Saat teman-temannya melihat pengaturan baru apartemennya, mereka menyukainya. 	Kemudian Cornelia memindahkan kembali tempat tidurnya ke tempatnya semula. 	Langsung semua temannya mengatur tempat tidurnya dengan cara yang sama. 	2
e245afa1-99b1-440c-91b6-f2e511c64380	Tim menyukai sepeda motornya.	Ia mengendarainya kapan pun ia bisa.	Hingga minggu lalu saat ia kecelakaan. 	Sekarang ia hampir tidak pernah mengendarainya.	Tim merasa aman saat ia mengendarai sepeda motornya. 	Tim merasa takut mengendarai sepeda motornya. 	2
a0c199b8-13ca-43df-86fe-caab16c2cf64	Wendy mendapatkan pekerjaan pertamanya sebagai perawat di sebuah panti wreda.	Dia sangat menyukai pekerjaannya, dan nyambung dengan para penghuninya. 	Terutama dia sangat senang mengobrol dengan seorang wanita tua bertubuh kecil. 	Suatu hari, wanita itu menunjukkan kepadanya foto-foto anak-anaknya. 	Wendy berlari keluar dari kamar sambil menangis. 	Wendy senang melihat foto-foto itu. 	2
2856cf71-cd17-4448-9009-2a6781d2b8f7	Tom dan Jake pergi ke sebuah konser.	Mereka hendak menonton band yang mereka sukai. 	Mereka menuju ke area penonton umum. 	Beberapa orang bertubuh sangat tinggi berdiri, sehingga mereka tidak bisa melihat apa-apa. 	Tom dan Jake jadi tidak bisa melihat band favorit mereka. 	Tom dan Jake menikmati pemandangan yang bagus. 	1
bb8870d3-44c3-4223-9511-b3c0c9909353	Lester bangga karena ia telah melewati bertahun-tahun tanpa ponsel. 	Dia suka berpikir bahwa ia tidak begitu bergantung pada teknologi dibandingkan orang-orang lain. 	Tetapi, suatu hari ban mobilnya kempes, membuatnya berharap memiliki ponsel. 	Ia tidak ingin mengalami hal seperti itu lagi. 	Lester melanjutkan hidupnya tanpa ponsel. 	Lester keluar untuk mendapatkan ponsel terbaik yang mampu ia beli. 	2
085eb2c2-bd13-439d-8a61-0244f1c27b25	Ben perlu mengganti oli mobilnya. 	Ia tahu itu lumayan mahal.	Kemudian, ia melihat sebuah kupon di kertas.	Ben menyobeknya, dan membawanya ke garasi.	Ben berhasil mengganti olinya.	Ben menjual ginjalnya untuk membayarnya. 	1
c2906cf8-eb46-420a-9012-1cae78ab3f55	Aku terbangun karena lapar.	Aku menuangkan semangkuk sereal, namun ternyata aku sama sekali tidak punya susu. 	Setelah berpikir hendak memakai air, aku memutuskan untuk pergi ke toko. 	Aku berjalan ke pojok, dan membeli 2 liter susu.	Aku pulang ke rumah, lalu makan sereal. 	Aku pulang ke rumah, lalu makan pizza. 	1
23a9ba39-15bf-4243-a508-2dd550756ceb	Anna mempunyai akuarium ikan air laut. 	Ia hanya menaruh karang di dalamnya. 	Lalu, ia memutuskan ingin menaruh beberapa ikan juga. 	Ia membeli beberapa ikan badut dan ikan triggerfish kecil.	Anna segera mengembalikan ikan itu ke toko. 	Sekarang Anna mempunyai akuarium yang beragam dengan ikan dan karang. 	2
20e398b2-135e-490f-bd48-df8864229f48	Holly adalah kucing hitam cantik yang sangat dicintai oleh Lee. 	Sayangnya, Holly sakit parah, sehingga Lee harus melakukan eutanasia.	Setiap hari Lee sangat bersedih karena kehilangan Holly. 	Suatu hari tiba-tiba seekor anak kucing hitam kecil muncul di pintu belakang rumah Lee. 	Lee memutuskan untuk mengadopsi seekor anak anjing.	Lee memutuskan untuk mengadopsi anak kucing itu. 	2
0990d818-d928-4d78-a5a5-41b6b4876019	Bob membutuhkan sepasang kaus kaki baru.	Ia pergi ke toko serba ada setempat untuk membelinya. 	Toko itu sedang mengadakan obral besar. 	Ia mendapati dirinya membeli banyak barang bagus. 	Bob benar-benar menikmati perjalanan belanjanya.	Bob mengembalikan semuanya keesokan harinya. 	1
7502cdcb-1e6f-47af-adc4-6e7c292f3e8b	Reggie muda suka bermain dan menonton sepak bola Amerika. 	Pemain favoritnya adalah Jamal Lewis, seorang penyerang. 	Ia sedang berada di Bandara Salt Lake bersama keluarganya, ketika melihat pahlawannya. 	Ia menghampiri Jamal untuk mengatakan bahwa ia juga akan bermain sepak bola profesional. 	Jamal Lewis memberikan nasihat pribadinya, dan mendoakan yang terbaik untuknya. 	Reggie muda menyuruhnya untuk menjauh darinya. 	1
fd6e207c-1c55-40c9-85fd-d6ac53ea0eb3	Ella menemukan seekor burung robin kecil di tanah. 	Ia tahu burung ini pasti jatuh dari sarangnya.	Dengan hati-hati ia membungkusnya, untuk menjadikannya sarang yang aman. 	Lalu, ia memberinya makan cacing dengan tangannya. 	Ia suka merawat burung robin itu. 	Tapi ia tidak menginginkan burung robin itu lagi. 	1
4d567833-0f68-4976-bf8c-d10ba68e0956	Aku membuat resolusi untuk berhenti dari pekerjaanku.	Aku menulis surat pengunduran diriku. 	Diam-diam aku pergi ke kantor untuk menyerahkannya. 	Aku telah berhenti dari pekerjaanku.	Sekarang aku bebas mengejar karir yang akan membuatku bahagia. 	Aku kembali ke pekerjaanku besok. 	1
03a810c5-6385-470a-bf0f-4beae08c5284	Aku memasukkan mawar plastik hitam ke dalam sebuah vas berisi air. 	Aku membiarkannya berada di atas rak bukuku selama beberapa minggu. 	Sepuluh orang menanyaiku tentang hal ini. 	Mereka ingin tahu mengapa aku memberi air pada bunga imitasi. 	Sejujurnya, aku juga tidak begitu tahu kenapa. 	Setelah beberapa minggu, bunga itu mati. 	1
ed8f4dfe-600e-4e68-af3d-22d2883ed575	Ben memutuskan untuk memanjakan dirinya dengan kopi. 	Ia membayar kopi menggunakan kartu debitnya. 	Kemudian hari, bank meneleponnya dan mengatakan bahwa ia telah menarik dana melebihi saldonya. 	Mereka menjelaskan bahwa ia harus membayar biaya tiga puluh dolar.	Ben frustasi dengan biaya tambahan itu. 	Ben senang setelah ditelepon oleh bank. 	1
11c2d92c-ceaf-4796-8521-435c0d0e5831	Chris sedang berada di persinggahan kedua minggu ini. 	Daripada mondar-mandir di bandara, ia memutuskan untuk memanfaatkan waktunya. 	Ia mulai memraktikkan bahasa Perancisnya, dengan menginstal sebuah aplikasi di teleponnya. 	Penumpang lain di bandara itu mendengarnya dan menawarkan bantuannya. 	Penumpang itu membantu mengajari Chris cara berbicara bahasa Perancis dasar. 	Penumpang itu tidak memahami Chris, karena ia hanya berbicara dalam bahasa China. 	1
3bef731d-076d-4d20-a722-a2f8c2668796	Ketika aku masih anak-anak, Google mulai untuk pertama kalinya.	Aku ingat aku bertanya kepada ayahku bagaimana untuk menggunakan situs itu.	Ia memperlihatkan kepadaku bagaimana mengetik dan menelusuri apapun yang aku mau. 	Aku keasyikan, dan menghabiskan setiap hari di mejaku untuk bersenang-senang. 	Aku belajar banyak dari Google.	Aku segera menjadi marah sekali karenanya. 	1
2fed71a3-7ba4-43b1-9ebf-b15ecbabbe62	Jeff akan dipromosikan, yang mana ia harus diwawancara. 	Ia pulang ke rumah, belajar dengan sungguh-sungguh, dan menghafal jawaban-jawabannya.	Ia mempersiapkan diri berhari-hari, hingga ia merasa siap untuk wawancara. 	Ia menempuh wawancaranya, dan lolos dengan sangat sukses. 	Dia senang ketika mendapatkan promosi. 	Ia menyadari bahwa ia harus berhenti dari pekerjaannya. 	1
03cf83cf-012c-40e0-89a4-4f9ff3ff2a78	Riki lahir dalam kawanan besar 12 anak anjing lainnya.	Ketika berusia delapan minggu, dia diberikan kepada sebuah keluarga yang baik.	Mereka membesarkannya dengan baik dan dia menjalani hidup yang sangat bahagia.	Keadaan Riki berubah suatu hari ketika pemiliknya terkena kanker.	Riki menjadi yatim piatu dan harus dikirim ke tempat penampungan.	Pemiliknya mulai berlari 19 km per hari.	1
46234dbc-80c0-4e7d-9bf4-7e880ced4602	Mia suka berada di udara terbuka.	Pada suatu musim panas, dia memutuskan untuk pergi memanjat gunung.	Dia bergabung dengan klub orang-orang yang memanjat gunung bersama.	Mereka memanjat gunung tertinggi di daerahnya.	Mia mengalami waktu yang menyenangkan.	Mia berharap dia bisa berada di udara terbuka.	1
896a1b17-2dd1-4f0e-9168-7146939f6dcd	Bos Fredi memanggilnya ke kantor di stasiun pengisian gas.	Dia memberi tahu Fredi bahwa ini adalah masa sulit dan dia harus diberhentikan.	Fredi menjadi sangat marah tentang hal ini.	Dia mengangkat bosnya dengan mencengkeram kerahnya dan melemparkannya ke bawah.	Bos Fredi memberinya pelukan erat.	Rekan kerja Fredi yang melihat dia menyerang bosnya menelepon polisi.	2
d806a701-9310-4b74-909d-c4bc746710d5	Kakak ipar perempuan saya sedang mencoba menghemat uang.	Dia baru menjadi janda dan hidup dari uang pensiun.	Dia belum lama ini mengembalikan dua dari tiga kotak kabel.	Saya memberi tahu dia bahwa antena bekerja dengan baik sekarang karena siaran berkualitas HD.	Dia membeli lebih banyak kotak kabel.	Dia senang mendengar itu.	2
4fdedd14-b582-4e75-b786-f565892e9cc9	Firman selalu membanggakan dirinya yang suka mencoba makanan baru.	Namun, dia belum pernah memakan pistachio.	Suatu hari dia membeli setoples pistachio untuk dimakan di rumah.	Dia suka rasanya.	Firman memutuskan untuk mulai membeli pistachio secara rutin.	Firman sadar kalau dia meninggalkan kaus lengan panjangnya di gym.	1
4182f0b2-39c4-4e65-86eb-f1db0789d1fd	Sarah telah menyimpan sekantong benih yang tidak diketahui selama bertahun-tahun.	Dia memutuskan suatu hari untuk menanam benih itu.	Sarah menempatkannya dalam pot, percaya bahwa itu akan menjadi tanaman kecil.	Sarah tidak bisa lebih salah lagi dalam asumsinya!	Dia membuka sebotol bir dan menyesapnya.	Ternyata mereka menjadi tanaman besar.	2
24487427-d54e-4cf4-a7fd-acdcdafa87ba	Itu adalah hari yang sangat indah di luar.	Emi ingin memanfaatkan cuaca yang bagus itu.	Dia memutuskan untuk pergi ke taman.	Emi kecewa saat dia menemukan mobilnya tidak dapat distarter.	Dia meminta tetangganya untuk melakukan jump start.	Dia mengendarai mobilnya ke mekanik untuk diperiksa.	1
d1817a6c-58d1-498b-aba9-34af04659142	Tomi lelah dengan kehidupan sehari-hari.	Jadi, dia memutuskan untuk pindah ke luar jaringan utilitas.	Minggu pertamanya baik-baik saja, tapi dia segera kehabisan air.	Dia menderita selama dua hari dan masih tidak bisa menemukan air.	Akhirnya, Tomi kembali ke jaringan utilitas.	Tomi menyukai ide puasa.	1
07e6627f-e1c5-4cee-9b4e-0b951d508d42	Arif ingin belajar astronomi.	Dia ingin pergi ke luar angkasa.	Namun dia terlalu muda untuk menjadi astronot.	Berita ini membuatnya sedih.	Arif bekerja keras di sekolah untuk menjadi astronot.	Arif membenci mars.	1
48116196-7af4-40f6-9994-8ea361a6d473	Kakak ipar perempuan saya bekerja di panti perawatan.	Dia adalah seorang pelayan.	Dia memberi kami kalender yang diterbitkan oleh panti tersebut.	Itu menampilkan dia berdandan untuk Hari Saint Patrick.	Kami semua berpikir kalau kakak saya terlihat menggelikan berdandan seperti itu.	Kakak saya menyembunyikan sesuatu dari kami.	1
65b3382b-23e1-41d4-b2cf-169da4f7d578	Fredi memutuskan untuk membeli saham Apple.	Harga sahamnya 90 dolar saat dia membelinya.	Untungnya mereka memperoleh pendapatan besar kemarin.	Sahamnya kemudian naik menjadi 100 dolar.	Fredi menyesali pembelian sahamnya.	Fredi sangat gembira.	2
bf02c548-9458-4b48-a482-5cfb4031d7a7	Dewi sangat percaya diri dalam persiapannya untuk lomba mengeja wilayahnya.	Dia telah menghabiskan sebulan terakhir mempelajari kamus setiap malam.	Ketika lomba dimulai, Dewi bertahan sementara yang lain tersingkir.	Tinggal tersisa dua orang di final dan lawan Dewi membuat kesalahan.	Dewi memenangkan lomba mengeja!	Dewi kalah dalam lomba mengeja.	1
281c3608-602c-401f-861e-5288408315c7	Rina sudah bertahun-tahun tidak pernah meninggalkan apartemennya.	Saya pergi ke tempatnya hari ini untuk menyapanya.	Saya bisa melihat kalau dia enggan mempersilakan saya masuk.	Kami berbicara selama beberapa saat tentang keadaannya.	Rina suka didatangi pengunjung.	Rina mengidap agorafobia.	2
2a25942d-3b24-4a82-917c-f8b1c278ad45	Emi ada di pantai.	Cuaca awalnya tenang.	Tiba-tiba, angin mulai berembus amat kencang.	Ana terjebak dalam badai pasir yang menakutkan!	Dia menghabiskan waktu yang menyenangkan di pantai.	Untungnya dia dapat kembali ke rumah pantai dengan selamat.	2
e378ee18-a45c-4ce9-9506-e852566a8b33	Andre tidak pernah terkena masalah apa pun.	Orang tuanya sedang di luar kota minggu itu.	Teman-teman Andre datang dan ingin minum.	Jadi, Andre mengeluarkan simpanan alkohol rahasia milik orang tuanya.	Andre berharap orang tuanya punya alkohol.	Mereka minum alkohol dan menjadi mabuk.	2
112151f0-6986-4251-aed3-2c454670a09f	Lia dulu hidup di desa.	Dia merindukan hari-hari dengan listrik yang padam.	Suatu hari, badai es menyebabkan lisrik padam di rumahnya di kota.	Dia merasa sangat kedinginan.	Dia gembira ketika listrik kembali menyala.	Lia sangat nyaman.	1
840d4bd4-fed4-4b34-8441-c3d3922a16e4	Anton merasa bersemangat.	Dia baru mendapat skateboard baru dan ingin mencobanya.	Dia langsung membawanya ke taman skatepark.	Dia meluncur sepanjang hari.	Anton bersenang-senang di taman skatepark.	Anton membuang skateboard-nya.	1
aa86fc61-5be9-4ef6-9c9b-24003fdaaa33	Rangga duduk di mejanya.	Namun mendadak, dia merasakan sensasi gatal yang aneh di lengannya.	Dia merasa kakinya menjadi gatal juga.	Dan kemudian wajahnya.	Rangga mengalami stroke.	Rangga mulai tertawa histeris.	1
8f84b194-2974-4c3f-8d09-b38810462fde	Riani pergi melakukan perjalanan darat bulan lalu.	Dia ingin melakukan perjalanan dari Boston ke Seattle.	Di tengah perjalanan, mobilnya mogok.	Dia menghabiskan berjam-jam di sisi jalan, menunggu AAA.	Riani gembira kerena mereka tiba begitu cepat.	Mereka memperbaiki mobilnya dan mengantar kepergiannya.	2
be1e8b99-b087-4e4f-b054-55ccfb85e480	Kepala sekolah mengumumkan bahwa akan ada pesta dansa sekolah hari Jumat itu.	Maria menjadi bersemangat tentang pesta dansa itu.	Dia ingin Dani mengajaknya ke pesta dansa sekolah.	Dani melihat Maria di lorong dan mengatakan bahwa dia perlu bicara dengannya.	Dia menyalahkannya karena mencuri sepedanya.	Dia gembira karena dia mengajaknya ke pesta dansa.	2
81150546-2bec-413f-a2f1-df4b40f4bb0e	Sebuah gerai Organic Avenue baru dibuka di NYC dan saya pergi mencobanya.	Saya sangat bersemangat untuk mencobanya karena saya tidak pernah pergi sebelumnya.	Ketika saya masuk, mereka memiliki selada dan jus yang luar biasa untuk dicoba.	Saya mencoba selada musim panas dan air kelapa.	Saya memutuskan tidak akan pernah kembali ke restoran itu.	Ini adalah restoran favorit saya yang baru.	2
885a22f1-15b1-44d0-aad7-64bda45e7638	Kamar Santi berdinding putih.	Namun dia mengeluh kalau dindingnya memantulkan terlalu banyak cahaya.	Jadi dia memutuskan untuk mengecat biru dindingnya.	Dia merasa kalau kamarnya lebih menenangkan.	Dia membencinya dan menggantinya dengan cat hitam.	Dia puas dengan hasilnya.	2
d313ed5f-56c3-40ee-918a-efeef6818d88	Saya bergabung dengan liga sepak bola fantasi untuk pertama kalinya tahun ini. 	Saya bergabung dengan grup teman saya karena mereka memerlukan satu orang lagi.	Saya tidak pernah bermain sebelumnya dalam hidup saya.	Saya akhirnya menjadi juara pertama!	Saya sangat bersemangat.	Saya sangat kecewa.	1
5af45d17-34dc-4059-89bf-6ac89e4b44b5	Heni bangun untuk bekerja pagi-pagi.	Malam sebelumnya turun salju jadi dia harus menggali mobilnya keluar dari salju.	Dia menghabiskan waktu satu jam untuk menyingkirkan salju.	Saat menuju kembali ke rumah untuk bersiap-siap, dia mendengar bunyi yang familiar.	Dia meninggalkan pancuran airnya menyala.	Heni turun ke danau untuk menyewa jet ski.	1
63467525-31e2-4563-88ec-be61c5ba9d7f	Setelah reporter kejuaraan bola basket negara bagian mewawancarai tim.	Dani bertanya apakah ini siaran langsung atau rekaman.	Jurnalis menginformasikan kepadanya bahwa ini adalah siaran langsung.	Dani berujar kepada kamera bahwa ayahnya adalah inspirasinya.	Dani mengagumi ayahnya.	Dani malu terhadap ayahnya.	1
c0b47103-e22e-4a61-bff1-031c33410523	Hendra memiliki kepribadian yang berbeda dan kuat.	Dia mengalami waktu yang buruk dalam pekerjaannya dan dipecat.	Dia mengatakan beberapa hal yang tidak menyenangkan kepada manajer dan rekan kerjanya.	Sejak itu, dia kesulitan menemukan pekerjaan.	Hendra memiliki perilaku yang sulit diterima di tempat kerja.	Sikap Hendra sangat pas untuk tempat kerja.	1
e098b268-e0bc-4caa-a96d-2dd57183be2c	Rani membeli rumah di pantai.	Setiap hari, burung bangau akan memangsa serangga di halamannya.	Suatu hari, burung bangau berhenti datang.	Beberapa bulan berlalu dan masih tidak ada bangau.	Halaman Rani dibanjiri serangga.	Rani mengalami serangan jantung fatal saat dia merangkai bunga.	1
dfd56967-1d66-472d-92ed-a59cea6c7f69	Tim kami ada pertandingan sepak bola hari ini.	Kami sangat bersemangat untuk menang.	Kami masuk ke lapangan dan berlatih sebelum pertandingan.	Tim kami bersatu, dan bekerja sama.	Tim kami malu akan penampilannya.	Tim kami merasa puas.	2
c467150a-5c67-4125-957f-557d05d3b953	Rina benci kelas matematika dan kesulitan mempelajari konsepnya.	Dia sangat kesulitan dengan pekerjaan itu dan sering meminta bantuan dari guru-guru.	Dia bekerja amat keras dan itu terbayar dengan nilai yang bagus.	Dia masuk kuliah di musim gugur.	Dia putus kuliah.	Rina lulus dengan nilai bagus.	2
1cf5a954-d883-4c42-b116-40635b3a53a4	Nenek Sofi mengidap penyakit terminal.	Sofi membesuknya di rumah sakit untuk mengucapkan selamat tinggal.	Neneknya memberi Sofi liontin emas kesayangannya.	Dia meminta Sofi menyimpannya untuk mengingatnya.	Sofi menangis.	Sofi tertawa di depan wajahnya.	1
05a2aa5d-1e5b-4741-a053-87b342b04578	Kelly mendapat wawancara kerja baru hari ini.	Dia bersiap-siap dalam waktu sepuluh menit dan berlari keluar pintu.	Ketika dia sampai di sana dan bertemu dengan wanita tersebut, dia menjawab pertanyaan.	Ketika wawancara telah selesai, mereka memberi tahunya bahwa mereka akan menghubunginya lagi.	Kelly berharap akan segera mendapat panggilan.	Kelly berharap dia tidak akan mendapat panggilan telepon.	1
656ac29e-6812-4435-93f3-790af77965ef	Don melihat lalat terbang masuk ke ruang tamu.	Dia memutuskan untuk memukulnya.	Dia telah mencoba selama setengah jam tetapi lalat tersebut selalu dapat menghindar.	Pada akhirnya lalat tersebut terbang pergi dengan sendirinya.	Don menutup pintu yang digunakan lalat terbang pergi.	Don tidak pernah pergi ke danau lagi.	1
c080b61b-7467-4eb8-8c36-096451d16182	Zack dan teman-temannya melewati sebuah rumah menyeramkan ketika berjalan pulang dari sekolah.	Suatu hari, mereka memutuskan untuk masuk ke dalamnya.	Zack dan teman-temannya masuk ke dalam setiap ruangan.	Rumah itu sudah tua dan tak berpenghuni.	Mereka memutuskan untuk bermain baseball di sana.	Mereka pergi dan berangkat ke sekolah.	2
e3ac8542-f974-4a3f-b198-e7b999397e7f	Mia pergi ke tempat Kasino tadi malam.	Dia memulai malamnya dengan bermain poker.	Setelah kehilangan sejumlah uang yang cukup banyak, dia bermain slot.	Dia hampir kehilangan semua uangnya ketika mereka mendengar RING RING RING.	Mia memenangkan sebuah jackpot!	Mia kehilangan lebih banyak uang.	1
f72182d5-f378-4377-a1fa-560607b43c52	Portia senang berjalan di dalam hutan dekat rumahnya.	Namun, dia menyadari bahwa sepatunya mulai menjadi berlumpur dan menjijikkan.	Dia memutuskan untuk membeli sepasang sepatu daki.	Partia menemukan sepasang yang nyaman dipakai dan tidak terlalu mahal.	Dia senang dengan pilihannya.	Dia mendonasikan sepatu botnya ke toko barang bekas.	1
62925eb3-37ff-4f69-aa07-14ac0142ffcf	Andrew akan menikah besok.	Dia telah membeli cincin pernikahan berbulan-bulan sebelumnya dan dia tidak bisa menemukannya!	Dia telah mencari di seluruh tempat di rumahnya.	Akhirnya ia teringat bahwa cincinnya dikembalikan di toko untuk diubah ukurannya.	Andrew kecewa ketika menemukan cincinnya.	Andrew sangat lega.	2
6e9efc4e-6b0a-412f-95af-8ace0483644d	Terry menemukan 2 ratus dollar di tempat kerja.	Dia membawa uang tersebut tetapi ia tidak tahu apakah dia melakukan hal yang benar.	Keesokan harinya ia membawa uang tersebut ke tempat kerja dan mengembalikannya.	Seminggu berlalu dan tidak seorang pun mengeklaim uang tersebut, sehingga bos Terry memberikan uang itu kembali kepadanya.	Dia membenci keputusan yang diambilnya dan dirinya sendiri.	Dia belajar bahwa kejujuran selalu lebih baik.	2
eb3c880b-ca0e-41a4-aa8c-3e602ed593c0	Aku senang berlama-lama mandi dengan air hangat.	Terasa menyegarkan dan juga menyenangkan.	Sayangnya hal tersebut adalah pemborosan.	Sehingga aku selalu merasa bersalah ketika melakukannya.	Oleh karena itu aku melakukannya dua kali sehari.	Aku memutuskan untuk berlama-lama mandi air hangat hanya sekali dalam seminggu.	2
5a70a9e6-2934-4fbc-8573-98d5e355cc66	Barry senang bermain baseball.	Barry memutuskan untuk pergi dan melihat pertandingan profesional.	Barry pergi ke stadion, dan membeli sebuah tiket.	Ketika masuk, Barry memutuskan untuk membeli bir untuk diminum.	Barry juga membeli sebuah hot dog.	Barry memutuskan untuk meninggalkan pertandingan.	1
40861849-64ad-48ef-be5e-7502a10cd665	Kami mendapati lalat buah di rumah kami tahun lalu.	Kami mencari tahu berbagai cara untuk mengusirnya.	Kami mencoba wine merah di dalam mangkuk.	Ketika hal tersebut tidak bekerja, kami membeli jebakan spesial.	Kami menggunakan lebih banyak wine merah dalam mangkuk setelah melihat hasil yang kami peroleh.	Kami bahkan bisa melihat jebakannya bekerja.	2
d2ccb926-7d8c-42fe-9f05-2cd66fcfb4fc	Remy senang meminum susu.	Tapi suatu hari, dia menumpahkan susu di atas karpetnya.	Dan dia tidak cukup peduli untuk membersihkan tumpahannya dengan benar.	Keesokan harinya, dia bangun dan mendapati bau busuk.	Remy belajar untuk tidak lagi menumpahkan susu di atas karpet dan belajar membersihkan lebih baik lagi.	Remy merasa bahwa menumpahkan lebih banyak susu ke atas karpet adalah ide yang bagus.	1
8cd5c023-1bd7-4821-bd29-26bb06a35ddf	Heather dan Marcus telah siap membawa hubungan mereka ke jenjang selanjutnya.	Mereka adalah pengantin baru yang berbahagia, tetapi mengidamkan pelengkap dalam keluarga mereka.	Meskipun belum terlalu siap untuk mempunyai anak, mereka tetap merasa kesepian.	Secara iseng, mereka pergi ke sebuah penampungan hewan dan jatuh cinta pada seekor kucing.	Mereka mengadopsi kucing tersebut.	Mereka meninggalkan tempat penampungan tanpa membawa seekor hewan.	1
5af670c5-f7db-4f79-9407-054bb817fe93	Banyak orang berjalan menuju kelas.	Mereka semua ingin sampai ke sana secepat mungkin.	Orang-orang mulai saling dorong satu sama lain.	Mereka berjatuhan.	Mereka semua kembali ke rumah.	Kerumunan tersebut membuat banyak orang terlambat mengikuti kelas.	2
1ee70e30-2b21-45be-be71-379c84f910ea	Sabtu lalu aku pergi ke sebuah konser Azalea.	Konsernya menakjubkan.	Aku mendapat tempat di baris depan.	Setelah pertunjukkan aku pergi ke belakang panggung dan bertemu dengannya.	Azalea sangat keren.	Aku tidak akan pergi ke konser lagi.	1
9242cf97-46fc-4972-962e-cd11166ce518	Eric mempunyai masalah kelebihan berat bedan.	Resolusi tahun barunya adalah untuk mencoba sebuah diet.	Ia pergi ke gym di bulan Januari dan makan makanan sehat.	Hal tersebut berlangsung selama satu bulan.	Eric kemudian berhenti berolahraga	Eric berhenti menjadi anoreksia.	1
d9785ee8-3367-42de-b7c6-5ce1704028c5	Sally kesulitan untuk mendapat nilai bagus di sekolah.	Orangtuanya memutuskan bahwa mereka perlu memotivasi Sally.	Mereka menjanjikan jika Sally berhasil menyelesaikan semester terakhirnya dengan baik, Sally boleh memilih tempat berlibur.	Sally belajar siang dan malam, ia ingin mendapatkan hasil yang baik.	Setelah selesai belajar, Sally mengumpulkan kayu bakar.	Sally mendapatkan hasil yang bagus, dan orangtuanya setuju untuk membawanya ke Hawaii.	2
4edea61b-cb7e-4650-a6ff-08b12a283e1f	Ketika aku masih kecil, aku dan saudaraku membutuhkan uang.	Kami mendapat ide untuk membuka jualan limun.	Kami memutuskan untuk membukanya di luar rumah kami.	Kami menjual limun kepada beberapa lusin orang.	Kami tidak berhasil mendapat uang sedikitpun.	Kami mendapat banyak uang untuk kebutuhan kami.	2
6acf52a2-ef62-4d9c-b1ee-4b0973e98f26	Aku menyukai senter saat aku masih anak-anak.	Ketika aku beranjak dewasa aku membeli klip tempel senter kecil.	Aku meletakkannya pada tasku untuk digunakan ketika keadaan darurat.	Kemudian, perkembangan ponsel pintar membuat senter tidak begitu dibutuhkan.	Rumahku sekarang penuh dengan senter dan aku tidak tahu harus berbuat apa dengan mereka.	Aku benci ponsel pintarku.	1
f8dd27d5-40e9-437e-8b2b-6d975a46c3eb	Terry membenci namanya.	Dia menginginkan nama yang keren seperti Super Metro Volcano Man.	Dia memberi tahu ibunya bahwa ia ingin mengubah namanya.	Ibunya menjelaskan bahwa ia dinamai seperti nama kakeknya yang penyayang.	Terry berusia empat puluh lima tahun.	Terry masih kecewa.	2
1eb35b08-ec06-4ccd-9cbb-8ccf97624907	Keluarga Parker sedang mencari sebuah rumah baru.	Mereka mencari di segala penjuru kota tetapi tidak dapat menemukan rumah yang mereka inginkan.	Akhirnya mereka menemukan sebuah rumah cantik yang mereka sukai.	Rumah tersebut sangatlah indah.	Keluarga Parker merasa frustrasi.	Keluarga Parker akan segera pindah ke rumah baru mereka.	2
5080c261-9751-47c0-9cb9-7a9a326fb62f	Tom memutuskan untuk pergi ke rumah pacarnya hari ini.	Dia menyetir secepat yang ia bisa, meskipun jalan sedang macet.	Ketika ia telah sampai di depan rumah, ia membunyikan belnya.	Tidak seorangpun menjawab, tetapi pintu depannya terbuka.	Tom mulai tertawa.	Tom mulai khawatir.	2
